water_year,classification,calendar_year
1901,W,1901
1902,AN,1902
1903,AN,1903
1904,W,1904
1905,AN,1905
1906,W,1906
1907,W,1907
1908,BN,1908
1909,W,1909
1910,W,1910
1911,W,1911
1912,BN,1912
1913,D,1913
1914,W,1914
1915,W,1915
1916,W,1916
1917,AN,1917
1918,D,1918
1919,BN,1919
1920,C,1920
1921,AN,1921
1922,AN,1922
1923,BN,1923
1924,C,1924
1925,D,1925
1926,D,1926
1927,W,1927
1928,AN,1928
1929,C,1929
1930,D,1930
1931,C,1931
1932,D,1932
1933,C,1933
1934,C,1934
1935,BN,1935
1936,BN,1936
1937,BN,1937
1938,W,1938
1939,D,1939
1940,AN,1940
1941,W,1941
1942,W,1942
1943,W,1943
1944,D,1944
1945,BN,1945
1946,BN,1946
1947,D,1947
1948,BN,1948
1949,D,1949
1950,BN,1950
1951,AN,1951
1952,W,1952
1953,W,1953
1954,AN,1954
1955,D,1955
1956,W,1956
1957,AN,1957
1958,W,1958
1959,BN,1959
1960,D,1960
1961,D,1961
1962,BN,1962
1963,W,1963
1964,D,1964
1965,W,1965
1966,BN,1966
1967,W,1967
1968,BN,1968
1969,W,1969
1970,W,1970
1971,W,1971
1972,BN,1972
1973,AN,1973
1974,W,1974
1975,W,1975
1976,C,1976
1977,C,1977
1978,AN,1978
1979,BN,1979
1980,AN,1980
1981,D,1981
1982,W,1982
1983,W,1983
1984,W,1984
1985,D,1985
1986,W,1986
1987,D,1987
1988,C,1988
1989,D,1989
1990,C,1990
1991,C,1991
1992,C,1992
1993,AN,1993
1994,C,1994
1995,W,1995
1996,W,1996
1997,W,1997
1998,W,1998
1999,W,1999
2000,AN,2000
2001,D,2001
2002,D,2002
2003,AN,2003
2004,BN,2004
2005,AN,2005
2006,W,2006
2007,D,2007
2008,C,2008
2009,D,2009
2010,BN,2010
2011,W,2011
2012,BN,2012
2013,D,2013
2014,C,2014
2015,C,2015
2016,BN,2016
2017,W,2017
2018,BN,2018
2019,W,2019
2020,D,2020
2021,C,2021
2022,C,2022
2023,W,2023
2024,AN,2024
